text,sentiment
"Hmm semua itu karena elite global, kalo mmg karena pemerintahan dan MBG emang zaman jokowi ga ada korupsi? ada juga sama aja juga isi pemerintahannya MBG juga uangnya mungkin hampir memutar ke kalangan atas dan bawah indonesia kenapa rupiah sangat melemah???, itumah elite global rupiah melemah karena pengaruh elite global lari semua uang indonesia ke luar terus menghilangkan kepercayaan investor2 terhadap indonesia","label sentimen: negatif  
makna tersirat (konteks): kritik terhadap pemerintahan jokowi dan tuduhan bahwa kebijakan yang diambil menguntungkan elite global, merugikan masyarakat umum, serta mengarah pada melemahnya rupiah.  
alasan klasifikasi: komentar ini mencerminkan kekecewaan dan kritik terhadap kondisi politik dan ekonomi saat ini, menunjukkan pandangan negatif terhadap pemerintahan dan pengaruh global yang dianggap merugikan."
"Loose lips sink ship. Ini krn regulasi, contoh biarkan Shell, BP, AKR, Exxon impor BBM sendiri agar mengurangi beban Pertamina. Bubarkan Danantara, karena cuma calo. Fakta, saham Garuda diakusisi 93% hasilnya, nyariin leasing Garuda, kerja Wadirut cuma pecat karyawan, Direktur Marketing tidak kompeten, titipan ordal. Malah, now, export sawit, Bbara mau ikut ikut. Kompetensi Rosan cuma staf Bakrie, kita tau lah reputasi nya Bakrie.","label sentimen: negatif  
makna tersirat (konteks): kritikan tajam terhadap kebijakan pemerintah dan manajemen perusahaan negara seperti pertamina dan garuda yang dianggap tidak efektif, serta potensi korupsi dalam pengangkatan pejabat.  
alasan klasifikasi: komentar ini mengandung unsur kekecewaan yang kuat terhadap kebijakan dan kinerja perusahaan, terlihat dari nada skeptis dan penggunaan istilah ""calo"" yang menunjukkan ketidakpuasan mendalam terhadap sistem yang ada."
rupiah melemah karena sell off rupiah besar besaran oleh singapura,"label sentimen: neutral  
makna tersirat (konteks): menyampaikan informasi tentang kondisi ekonomi dan pasar rupiah tanpa emosi atau penilaian.  
alasan klasifikasi: komentar ini bersifat informatif dan tidak mengandung kritik atau pujian."
"Laporan perusahaan robotech, duit tidak masuk, moderenisasi tidak selesai, internet bermasalah, mobil-mobil tidak ada, motor oke, pindah ke eropa,stop di account youtube","label sentimen: negatif  
makna tersirat (konteks): kekecewaan terhadap kinerja perusahaan robotech yang tidak memenuhi ekspektasi, di mana berbagai masalah operasional yang dihadapi menunjukkan ketidakmampuan untuk beradaptasi dan memberi nilai kepada pelanggan.  
alasan klasifikasi: kalimat ini penuh dengan kritik dan mengekspresikan rasa frustrasi terhadap perusahaan, dengan implikasi bahwa situasi yang terjadi sangat memalukan dan mengecewakan tanpa adanya solusi yang memadai."
"Labil banget yak, awalnya cm satu orang aja ngomong sell indonesia, beneran se-indonesia jd ruamee, rp anjlok.. stok kopi aman? 😂😂😂","label sentimen: negatif  
makna tersirat (konteks): menggambarkan rasa frustrasi terhadap dampak tindakan satu orang yang memicu reaksi berantai di seluruh indonesia, dengan sarkasme terkait kejatuhan rupiah dan menganggap isu stok kopi lebih penting.  
alasan klasifikasi: terlihat sarkastis melalui penggunaan emoji tertawa (""😂😂"") yang menunjukkan bahwa komentar ini meremehkan situasi yang serius, seolah-olah mengekspresikan ketidakpuasan."
"Terimakasih kontennya, sangat edukatif",neutral
Pemerintah nya tuh yg nga becus mengurus negara cuma penting kn diri sendiri saja tdk mikirkan cara nya supaya negara bisa maju tuh gmna cara nya pdhl rakyat sdh byk yg menderita terutama rakyat bawah.,"label sentimen: negatif  
makna tersirat (konteks): kekecewaan terhadap pemerintah yang dianggap egois dan tidak peduli dengan keadaan masyarakat, terutama yang kurang mampu.  
alasan klasifikasi: ini adalah kritik yang jelas terhadap kinerja pemerintah, menunjukkan frustrasi dan ketidakpuasan terhadap kebijakan yang dianggap tidak efektif untuk kemajuan negara."
"😂🤣😂🤣🤣😂🤣  pemerintahan penuh tipu-tipu? 😂😂🤣🤣 adakah sesuatu yang bisa diandalkan dari presiden, DPR, gubernur, DPRD dan bupati semuanya ala Rp.50 K? 😂😂😂🤣🤣 presidennya antek bekas presiden bekas? 😂😂🤣🤣😂 dan tentu saja sejak lama semua sudah dikendalikan asing & aseng? 😂😂😂","label sentimen: negatif  
makna tersirat (konteks): kritik pedas terhadap pemerintahan yang dianggap penuh penipuan dan tidak dapat diandalkan, dengan menuduh penguasa berpihak pada kepentingan asing.  
alasan klasifikasi: terdapat banyak elemen sarkasme dan emoji tawa yang menunjukkan ejekan serius terhadap situasi politik dan ekonomi di indonesia."
Kyk Ngajarin anak kecil y kooh 🗿🗿 pke nyamain 98 sama yg sekarang. Jelas² suatu asset akan selalu membuat ATH nya seiring waktu.,"label sentimen: negatif  
makna tersirat (konteks): kritikan terhadap cara berpikir yang dianggap dangkal dalam membandingkan situasi ekonomi saat ini dengan krisis 1998, serta mengekspresikan ketidakpuasan terhadap pemahaman yang kurang mendalam mengenai aset dan investasi.  
alasan klasifikasi: menggunakan emoji ""🗿🗿"" yang seringkali digunakan untuk menyiratkan sinisme atau ketidakpuasan, ini menunjukkan bahwa komentar tersebut secara tidak langsung mengejek orang-orang yang melakukan perbandingan tersebut."
dari salah satu youtuber ada kebijakan Quantitative Easing (QE) sehingga walau bi rate naik tapi rupiah tetap turun terus,"label sentimen: neutral  
makna tersirat (konteks): komentar memberikan penjelasan tentang dampak kebijakan quantitative easing (qe) terhadap nilai tukar rupiah, tanpa menyiratkan emosi positif atau negatif.  
alasan klasifikasi: komentar ini bersifat informatif dan tidak menunjukkan kritik atau dukungan yang jelas terhadap kebijakan tersebut."
